漢字,読み仮名,答え,レベル,部首,タグ
鮫,,さめ,Level3,Unset,Fish
鰆,,さわら,Level4,Unset,Fish
秋刀魚,,さんま,Level3,Unset,Fish
柳葉魚,,ししゃも,Level5,Unset,Fish
鱸,,すずき,Level4,Unset,Fish
鯛,,たい,Level3,Unset,Fish
太刀魚,,たちうお,Level3,Unset,Fish
鱈,,たら,Level3,Unset,Fish
蝶鮫,,ちょうざめ,Level4,Unset,Fish
泥鰌,,どじょう,Level4,Unset,Fish
鯰,,なまず,Level4,Unset,Fish
鰊,,にしん,Level4,Unset,Fish
鯊,,はぜ,Level4,Unset,Fish
鰰,,はたはた,Level4,Unset,Fish
鱧,,はも,Level4,Unset,Fish
鮃,,ひらめ,Level3,Unset,Fish
河豚,,ふぐ,Level3,Unset,Fish
鮒,,ふな,Level4,Unset,Fish
鰤,,ぶり,Level4,Unset,Fish
鯔,,ぼら,Level4,Unset,Fish
鮪,,まぐろ,Level3,Unset,Fish
鱒,,ます,Level4,Unset,Fish
翻車魚,,まんぼう,Level4,Unset,Fish
目高,,めだか,Level3,Unset,Fish
眼張,,めばる,Level3,Unset,Fish
山女魚,,やまめ,Level4,Unset,Fish
公魚,,わかさぎ,Level4,Unset,Fish
鱶鰭,,ふかひれ,Level4,Unset,Fish
家鴨,,あひる,Level4,Unset,Bird
信天翁,,あほうどり,Level4,Unset,Bird
鸚哥,,いんこ,Level4,Unset,Bird
鵜,,う,Level4,Unset,Bird
鶯,,うぐいす,Level4,Unset,Bird
鶉,,うずら,Level4,Unset,Bird
鸚鵡,,おうむ,Level4,Unset,Bird
鴛鴦,,おしどり,Level4,Unset,Bird
郭公,,かっこう、ほととぎす,Level4,Unset,Bird
金糸雀,,かなりあ,Level4,Unset,Bird
鴨,,かも,Level4,Unset,Bird
鴎,,かもめ,Level4,Unset,Bird
烏,,からす,Level3,Unset,Bird
雁,,がん、かり,Level3,Unset,Bird
軽鴨,,かるがも,Level4,Unset,Bird
翡翠,,かわせみ、ひすい,Level4,Unset,Bird
雉子,,きじ,Level4,Unset,Bird
啄木鳥,,きつつき,Level4,Unset,Bird
山原水鶏,,やんばるくいな,Level4,Unset,Bird
孔雀,,くじゃく,Level3,Unset,Bird
鸛,,こうのとり,Level4,Unset,Bird
小啄木鳥,,こげら,Level4,Unset,Bird
鷺,,さぎ,Level4,Unset,Bird
鴫,,しぎ,Level4,Unset,Bird
四十雀,,しじゅうから,Level4,Unset,Bird
軍鶏,,しゃも,Level4,Unset,Bird
雀,,すずめ,Level3,Unset,Bird
背黄青鸚哥,,せきせいいんこ,Level4,Unset,Bird
鷹,,たか,Level3,Unset,Bird
駝鳥,,だちょう,Level3,Unset,Bird
千鳥,,ちどり,Level3,Unset,Bird
鶫,,つぐみ,Level4,Unset,Bird
燕,,つばめ,Level4,Unset,Bird
鶴,,つる,Level3,Unset,Bird
朱鷺,,とき,Level4,Unset,Bird
鳶,,とび、とんび,Level4,Unset,Bird
鶏,,にわとり、とり,Level3,Unset,Bird
鳩,,はと,Level3,Unset,Bird
隼,,はやぶさ,Level3,Unset,Bird
梟,,ふくろう,Level4,Unset,Bird
不如帰,,ほととぎす,Level4,Unset,Bird
珠鶏,,ほろほろちょう,Level5,Unset,Bird
木菟,,みみずく,Level4,Unset,Bird
百舌,,もず,Level4,Unset,Bird
夜鷹,,よたか,Level4,Unset,Bird
鷲,,わし,Level4,Unset,Bird
鷦鷯,,みそさざい,Level5,Unset,Bird
障泥烏賊,,あおりいか,Level4,Unset,Fish
錨,,いかり,Level4,Unset,Product
錘,,おもり、つむ,Level4,Unset,Product
帷子,,かたびら,Level4,Unset,Product
剃刀,,かみそり,Level4,Unset,Product
鉋,,かんな,Level4,Unset,Product
錐,,きり,Level4,Unset,Product
鍬,,くわ,Level4,Unset,Product
炬燵,,こたつ,Level4,Unset,Product
鏝,,こて,Level4,Unset,Product
芥箱,,ごみばこ,Level4,Unset,Product
賽子,,さいころ,Level4,Unset,Product
笊,,ざる,Level4,Unset,Product
杓文字,,しゃもじ,Level4,Unset,Product
絨毯,,じゅうたん,Level4,Unset,Product
鋤,,すき,Level4,Unset,Product
双六,,すごろく,Level3,Unset,Product
簾,,すだれ,Level4,Unset,Product
三和土,,たたき,Level4,Unset,Product
束子,,たわし,Level4,Unset,Product
箪笥,,たんす,Level4,Unset,Product
鍔,,つば,Level4,Unset,Product
梃子,,てこ,Level4,Unset,Product
瓊脂,,ところてん,Level5,Unset,Product
鑿,,のみ,Level4,Unset,Product
暖簾,,のれん,Level4,Unset,Product
鉈,,なた,Level4,Unset,Product
梯子,,はしご,Level4,Unset,Product
鋏,,はさみ,Level4,Unset,Product
発条,,ばね、ぜんまい,Level4,Unset,Product
抽斗,,ひきだし,Level4,Unset,Product
箒,,ほうき,Level4,Unset,Product
雪洞,,ぼんぼり,Level4,Unset,Product
鉞,,まさかり,Level4,Unset,Product
鑢,,やすり,Level4,Unset,Product
坩堝,,るつぼ,Level4,Unset,Product
轆轤,,ろくろ,Level4,Unset,Product
此方人等,,こちとら,Level5,Unset,Unset
耄れ,,おいぼれ,Level5,Unset,Unset
蛩,,こおろぎ,Level5,Unset,Unset
潺,,せせらぎ,Level5,Unset,Unset
蕣,,あさがお,Level5,Unset,Unset
蟶,,まて、まてがい,Level5,Unset,Unset
騅,,あしげ,Level5,Unset,Unset
嫋ぐ,,そよぐ,Level5,Unset,Unset
罵詈讒謗,,ばりざんぼう,Level5,Unset,Unset
取次筋斗,,しどろもどろ,Level5,Unset,Unset
蹣跚めく,,よろめく,Level5,Unset,Unset
齎す,,もたらす,Level5,Unset,Unset
蛞蝓,,なめくじ,Level6,Unset,Unset
混沌,,こんとん,Level7,Unset,Unset
